Line	Code	Chinese	English
9	FEL	飞鹅岭	Fei'eling
9	HDA	花都汽车城	Huadu Autocity
9	GZN	广州北站	Guangzhou North Railway Station
9	HCL	花城路	Huachenglu
9	HGP	花果山公园	Huaguoshan Park
9	HDS	花都广场	Huadu Square
9	MSP	马鞍山公园	Ma'anshan Park
9	LIT	莲塘	Liantang
9	QIB	清㘵	Qingbu
9	QIT	清塘	Qingtang
9	GAZ	高增	Gaozeng
			
13	YUZ	鱼珠	Yuzhu
13	YFW	裕丰围	Yufengwei
13	SHG	双岗	Shuanggang
13	NGT	南海神庙	Nanhai God Temple
13	XIY	夏园	Xiayuan
13	NAG	南岗	Nangang
13	SCU	沙村	Shacun
13	BAJ	白江	Baijiang
13	XIT	新塘	Xintang
13	GUH	官湖	Guanhu
13	XIS	新沙	Xinsha
			
14	JHW	嘉禾望岗	Jiahewanggang
14	BYD	白云东平	Baiyun Dongping
14	XLI	夏良	Xialiang
14	TAH	太和	Taihe
14	ZHL	竹料	Zhuliao
14	ZLT	钟落潭	Zhongluotan
14	MAL	马沥	Mali
14	XIH	新和	Xinhe
14	TAP	太平	Taiping
14	SGA	神岗	Shengang
14	CHC	赤草	Chicao
14	CCT	从化客运站	Conghua Coach Terminal
14	DOF	东风	Dongfeng
14	HOW	红卫	Hongwei
14	XIN	新南	Xinnan
14	FEX	枫下	Fengxia
14	SGK	知识城	Sino-Singapore Guangzhou Knowledge City
14	HTX	何棠下	Hetangxia
14	WAC	旺村	Wangcun
14	TCU	汤村	Tangcun
14	ZLB	镇龙北	Zhenlongbei
14	ZLO	镇龙	Zhenlong
			
21	ZLX	镇龙西	Zhenlongxi
21	ZLO	镇龙	Zhenlong
21	ZHX	中新	Zhongxin
21	KEB	坑贝	Kengbei
21	FEG	凤岗	Fenggang
21	ZCU	朱村	Zhucun
21	SHT	山田	Shantian
21	ZHG	钟岗	Zhonggang
21	ZCS	增城广场	Zengcheng Square
			
GF	XCD	新城东	Xincheng Dong
GF	DPI	东平	Dongping
GF	SJL	世纪莲	Shijilian
GF	LAS	澜石	Lanshi
GF	KQL	魁奇路	Kuiqi Lu
GF	JHP	季华园	Jihua Park
GF	TJL	同济路	Tongji Lu
GF	ZUM	祖庙	Zumiao
GF	PJB	普君北路	Pujun Beilu
GF	CHA	朝安	Chao'an
GF	GUC	桂城	Guicheng
GF	NGL	南桂路	Nangui Lu
GF	LEG	𧒽岗	Leigang
GF	QDL	千灯湖	Qiandenghu Lake
GF	FHZ	金融高新区	Financial Hi-Tech Zone
GF	LOX	龙溪	Longxi
GF	JUS	菊树	Jushu
GF	XIL	西塱	Xilang
GF	HED	鹤洞	Hedong
GF	SHC	沙涌	Shachong
GF	SHY	沙园	Shayuan
GF	YAG	燕岗	Yangang
GF	SHX	石溪	Shixi
GF	NAZ	南洲	Nanzhou
GF	LIJ	沥滘	Lijiao
			
APM	CAT	广州塔	Canton Tower
APM	HXS	海心沙	Haixinsha
APM	GOH	大剧院	Guangzhou Opera House
APM	HCD	花城大道	Huacheng Dadao
APM	GWC	妇儿中心	Guangzhou Women and Children's Medical Center
APM	HPD	黄埔大道	Huangpu Dadao
APM	THN	天河南	Tianhenan
APM	TSS	体育中心南	Tianhe Sports Center South
APM	LHX	林和西	Linhexi
			
THZ1	CAT	广州塔	Canton Tower
THZ1	CTE	广州塔东	Canton Tower East
THZ1	LBS	猎德大桥南	Liede Bridge South
THZ1	PAP	琶醍	Party Pier
THZ1	NAF	南风	Nanfeng
THZ1	CFW	会展西	Canton Fair Complex West
THZ1	CFM	会展中	Canton Fair Complex Middle
THZ1	CFE	会展东	Canton Fair Complex East
THZ1	PBS	琶洲大桥南	Pazhou Bridge South
THZ1	PZP	琶洲塔	Pazhou Pagoda
THZ1	WSW	万胜围	Wanshengwei
